generator,seed,target,target_is_hub,retention_pct,f1_full,f1_hif
ctgan,47,education,True,68.65,0.3497536945812808,0.34520651762031074
ctgan,47,tenure,True,68.65,0.36557567551533887,0.42124008418326053
ctgan,47,cost_burden_pct,False,68.65,0.3520250158983409,0.3549957861222961
ctgan,47,employment_status,False,68.65,0.3281075027995521,0.3273542600896861
ctgan,47,household_size,False,68.65,0.38122424199969646,0.4051937298455251
ctgan,47,age_group,False,68.65,0.33184855233853006,0.3340049455078304
ctgan,48,household_income,True,52.449999999999996,0.33034774185396804,0.4280764303942259
ctgan,48,housing_cost,True,52.449999999999996,0.4530035854574823,0.4979782213824767
ctgan,48,poverty_status,True,52.449999999999996,0.3412097218325592,0.4898666095653159
ctgan,48,education,True,52.449999999999996,0.3370165745856354,0.33415430437023885
ctgan,48,tenure,True,52.449999999999996,0.33774834437086093,0.33774834437086093
ctgan,48,cost_burden_pct,False,52.449999999999996,0.35127016850983356,0.37486014768404563
ctgan,48,employment_status,False,52.449999999999996,0.33531648742004727,0.3478611783696529
ctgan,48,household_size,False,52.449999999999996,0.3265993265993266,0.3265993265993266
ctgan,48,age_group,False,52.449999999999996,0.4950452007000256,0.42065293979487983
ctgan,49,household_income,True,71.15,0.338527611461067,0.35759462233848804
ctgan,49,housing_cost,True,71.15,0.33774834437086093,0.3489714419946978
ctgan,49,poverty_status,True,71.15,0.3332456024915559,0.4116394878541592
ctgan,49,education,True,71.15,0.5260328239954726,0.6505532906231799
ctgan,49,tenure,False,71.15,0.32272527472527474,0.41133421324274316
ctgan,49,cost_burden_pct,False,71.15,0.35275080906148865,0.3368618024373429
ctgan,49,employment_status,False,71.15,0.3392758820815786,0.3370165745856354
ctgan,49,household_size,True,71.15,0.4375706222689183,0.3754429876719682
ctgan,49,age_group,False,71.15,0.534568524259246,0.5667945405673426
ctgan,50,household_income,True,71.2,0.5607419756026567,0.6792390545439673
ctgan,50,housing_cost,True,71.2,0.3894730350590484,0.4409634548042852
ctgan,50,poverty_status,True,71.2,0.42010309278350516,0.40067749500564576
ctgan,50,education,True,71.2,0.31951186317651864,0.4166666666666667
ctgan,50,tenure,True,71.2,0.318955732122588,0.318955732122588
ctgan,50,cost_burden_pct,False,71.2,0.353689106339283,0.36312451377259725
ctgan,50,employment_status,False,71.2,0.4156662550444934,0.42940635588416826
ctgan,50,household_size,False,71.2,0.5803973687070054,0.5754590836156177
ctgan,50,age_group,False,71.2,0.5150315166856728,0.4787813675082495
ctgan,51,household_income,True,66.35,0.37541863479387944,0.48172757475083056
ctgan,51,housing_cost,True,66.35,0.3281075027995521,0.3378514127251376
ctgan,51,poverty_status,True,66.35,0.3325418181941888,0.35961396055472317
ctgan,51,education,True,66.35,0.3197278911564626,0.3174061433447099
ctgan,51,tenure,False,66.35,0.4824494675070637,0.4588195501437511
