dataset,generator,target,seed,arm,n_real_total,n_real_train,n_real_test,n_synthetic,test_size,target_is_hub,hubs,retention_pct,f1_full,accuracy_full,f1_filtered,accuracy_filtered
census_acs,vine,household_income,44,C_blind,2000,1400,600,2000,0.3,False,housing_cost|poverty_status|education|household_size|age_group,93.05,0.44166511573643263,0.44166666666666665,0.3881956773607395,0.3883333333333333
census_acs,vine,household_income,45,A_published,2000,1400,600,2000,0.3,True,household_income|housing_cost|poverty_status|tenure|education,79.45,0.45972716221691956,0.4666666666666667,0.6950265874257116,0.6966666666666667
census_acs,vine,household_income,45,B_no_hub,2000,1400,600,2000,0.3,False,housing_cost|poverty_status|tenure|education|age_group,90.10000000000001,0.45972716221691956,0.4666666666666667,0.5129421807135146,0.515
census_acs,vine,household_income,45,C_blind,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|household_size|education|age_group,95.85000000000001,0.45972716221691956,0.4666666666666667,0.4927408006606166,0.49833333333333335
census_acs,vine,household_income,46,A_published,2000,1400,600,2000,0.3,True,household_income|poverty_status|housing_cost|education|tenure,78.2,0.513198110586274,0.5133333333333333,0.6488226554409977,0.6533333333333333
census_acs,vine,household_income,46,B_no_hub,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|household_size,88.3,0.513198110586274,0.5133333333333333,0.5359499205642313,0.5383333333333333
census_acs,vine,household_income,46,C_blind,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|age_group,95.5,0.513198110586274,0.5133333333333333,0.4944196428571428,0.49666666666666665
census_acs,vine,household_income,47,A_published,2000,1400,600,2000,0.3,True,household_income|poverty_status|housing_cost|education|tenure,79.4,0.4508694566935685,0.4683333333333333,0.6016810314124938,0.6116666666666667
census_acs,vine,household_income,47,B_no_hub,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|household_size,88.5,0.4508694566935685,0.4683333333333333,0.4359069594688704,0.46
census_acs,vine,household_income,47,C_blind,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|age_group,94.19999999999999,0.4508694566935685,0.4683333333333333,0.44822127025516856,0.47333333333333333
census_acs,vine,household_income,48,A_published,2000,1400,600,2000,0.3,True,household_income|poverty_status|housing_cost|education|tenure,74.6,0.4565217391304348,0.46,0.5980303487086724,0.6
census_acs,vine,household_income,48,B_no_hub,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|household_size,86.7,0.4565217391304348,0.46,0.40279584959797154,0.4033333333333333
census_acs,vine,household_income,48,C_blind,2000,1400,600,2000,0.3,False,poverty_status|housing_cost|education|tenure|household_size,94.65,0.4565217391304348,0.46,0.42255699329098007,0.42333333333333334
census_acs,vine,household_income,49,A_published,2000,1400,600,2000,0.3,True,household_income|housing_cost|poverty_status|education|household_size,76.85,0.495743415486764,0.49833333333333335,0.6097875509999889,0.61
