seed,error_type,corruption_level,method,f1,precision,recall,roc_auc,pr_auc,n_flagged,n_true_errors
47,covariate_shift,0.4,LOF,0.3161094224924012,0.26463104325699743,0.39245283018867927,0.30192462287794963,0.3252161882715632,393,265
47,covariate_shift,0.4,GMM,0.321377331420373,0.25925925925925924,0.4226415094339623,0.22172412162481678,0.267794728956995,432,265
48,random_injection,0.4,HIF,0.7047913446676971,0.5968586387434555,0.8603773584905661,0.8149808483472832,0.7094609655840499,382,265
48,random_injection,0.4,IsolationForest,0.39943342776203966,0.3197278911564626,0.5320754716981132,0.34276256679434436,0.3069095264199581,441,265
48,random_injection,0.4,LOF,0.5020576131687243,0.39439655172413796,0.690566037735849,0.5334279093961318,0.4744622805165501,464,265
48,random_injection,0.4,GMM,0.6068965517241379,0.43636363636363634,0.9962264150943396,0.8409703504043127,0.7603339202982926,605,265
48,semantic_hallucination,0.4,HIF,0.723338485316847,0.612565445026178,0.8830188679245283,0.784990778833877,0.5919880624480119,382,265
48,semantic_hallucination,0.4,IsolationForest,0.5098554533508541,0.3911290322580645,0.7320754716981132,0.4869248593181066,0.3840924972663766,496,265
48,semantic_hallucination,0.4,LOF,0.5567282321899736,0.4279918864097363,0.7962264150943397,0.5851610157469145,0.47011705030291623,493,265
48,semantic_hallucination,0.4,GMM,0.6113033448673587,0.44019933554817275,1.0,0.959303920177803,0.9207996674163702,602,265
48,row_duplication,0.4,HIF,0.36254980079681276,0.38396624472573837,0.3433962264150943,0.4920177802998061,0.3865585747938926,237,265
48,row_duplication,0.4,IsolationForest,0.5073825503355704,0.39375,0.7132075471698113,0.49775854731167535,0.40950671068888644,480,265
48,row_duplication,0.4,LOF,0.5247657295850067,0.4066390041493776,0.7396226415094339,0.5259658580413298,0.424531268400723,482,265
48,row_duplication,0.4,GMM,0.5471923536439666,0.40034965034965037,0.8641509433962264,0.5053104459261362,0.40789885948448357,572,265
48,feature_dropout,0.4,HIF,0.5604203152364273,0.5228758169934641,0.6037735849056604,0.6846597626140823,0.5355398861932085,306,265
48,feature_dropout,0.4,IsolationForest,0.3072378138847858,0.2524271844660194,0.39245283018867927,0.276455289166312,0.2919441872288748,412,265
48,feature_dropout,0.4,LOF,0.5421530479896238,0.41304347826086957,0.7886792452830189,0.5895115146356458,0.4924623323900467,506,265
48,feature_dropout,0.4,GMM,0.5771028037383178,0.4179357021996616,0.9320754716981132,0.8165980990211379,0.7701321793472842,591,265
48,covariate_shift,0.4,HIF,0.0,0.0,0.0,0.16730505509055657,0.3473872418368924,148,265
48,covariate_shift,0.4,IsolationForest,0.3179791976225854,0.2622549019607843,0.4037735849056604,0.26934316924386437,0.2868110822479729,408,265
48,covariate_shift,0.4,LOF,0.2866043613707165,0.2440318302387268,0.3471698113207547,0.2787109282640564,0.3090948867835731,377,265
48,covariate_shift,0.4,GMM,0.3135593220338983,0.2505643340857788,0.4188679245283019,0.1852650494159928,0.2596170153924248,443,265
49,random_injection,0.4,HIF,0.7191358024691358,0.608355091383812,0.879245283018868,0.850134770889488,0.7757927244152358,383,265
49,random_injection,0.4,IsolationForest,0.40974212034383956,0.3302540415704388,0.539622641509434,0.32427294651723654,0.30567749165663133,433,265
49,random_injection,0.4,LOF,0.5129604365620737,0.4017094017094017,0.7094339622641509,0.5093299285950725,0.4205047468925896,468,265
49,random_injection,0.4,GMM,0.6048109965635738,0.4342105263157895,0.9962264150943396,0.8210999196103467,0.7273190257788309,608,265
49,semantic_hallucination,0.4,HIF,0.7384615384615385,0.6233766233766234,0.9056603773584906,0.8346999574407719,0.6849009067638208,385,265
49,semantic_hallucination,0.4,IsolationForest,0.5435356200527705,0.4178498985801217,0.7773584905660378,0.5124225658485837,0.3941882339249565,493,265
49,semantic_hallucination,0.4,LOF,0.557161629434954,0.4274193548387097,0.8,0.6001229488816382,0.4735463098332954,496,265
49,semantic_hallucination,0.4,GMM,0.6113033448673587,0.44019933554817275,1.0,0.9435664633281317,0.8888641419110588,602,265
49,row_duplication,0.4,HIF,0.3682170542635659,0.3784860557768924,0.3584905660377358,0.4774436090225564,0.38723348251439027,251,265
49,row_duplication,0.4,IsolationForest,0.5223097112860893,0.40040241448692154,0.7509433962264151,0.49166784886745163,0.39266414269314087,497,265
49,row_duplication,0.4,LOF,0.5161290322580645,0.40083507306889354,0.7245283018867924,0.49040525842909166,0.3858295160404822,479,265
49,row_duplication,0.4,GMM,0.5417661097852029,0.3961605584642234,0.8566037735849057,0.49703504043126684,0.38848249683770675,573,265
49,feature_dropout,0.4,HIF,0.6161449752883031,0.5467836257309941,0.7056603773584905,0.7184092306237291,0.5667234103501894,342,265
49,feature_dropout,0.4,IsolationForest,0.344311377245509,0.2853598014888337,0.4339622641509434,0.2837660188206365,0.28532401870009866,403,265
49,feature_dropout,0.4,LOF,0.5542483660130719,0.424,0.8,0.6183761290017495,0.5036309581164976,500,265
49,feature_dropout,0.4,GMM,0.593103448275862,0.42644628099173554,0.9735849056603774,0.8187638908592236,0.7535443920695698,605,265
49,covariate_shift,0.4,HIF,0.02358490566037736,0.031446540880503145,0.018867924528301886,0.20233129994798316,0.3385390440000835,159,265
49,covariate_shift,0.4,IsolationForest,0.3644578313253012,0.3032581453634085,0.45660377358490567,0.32309074573225516,0.3271733965699607,399,265
49,covariate_shift,0.4,LOF,0.3157894736842105,0.2677165354330709,0.3849056603773585,0.29766870005201684,0.3181827394369212,381,265
49,covariate_shift,0.4,GMM,0.3016759776536313,0.2394678492239468,0.4075471698113208,0.1452026292145458,0.2525747166992987,451,265
