dataset,generator,seed,n_rows,flag_rate,base_violation_rate,confirmation_rate_flagged,confirmation_rate_unflagged,n_flagged,n_unflagged,median_severity_flagged,median_severity_unflagged,spearman_penalty_severity
online_purchases,ctgan,51,664,0.9036,1.0,1.0,1.0,600,64,1.0,0.2544,0.357
online_purchases,tvae,42,664,1.0,1.0,1.0,,664,0,0.3894,,0.1753
online_purchases,tvae,43,664,0.9985,1.0,1.0,1.0,663,1,0.4136,9.7865,0.2904
online_purchases,tvae,44,664,1.0,1.0,1.0,,664,0,0.415,,0.2388
online_purchases,tvae,45,664,0.9985,1.0,1.0,1.0,663,1,0.4522,0.2943,0.2164
online_purchases,tvae,46,664,0.9985,1.0,1.0,1.0,663,1,0.4618,4420000000.0,0.1442
online_purchases,tvae,47,664,1.0,1.0,1.0,,664,0,0.4032,,0.2331
online_purchases,tvae,48,664,1.0,1.0,1.0,,664,0,0.4249,,0.1426
online_purchases,tvae,49,664,1.0,1.0,1.0,,664,0,0.4052,,0.3148
online_purchases,tvae,50,664,1.0,1.0,1.0,,664,0,0.4376,,0.1917
online_purchases,tvae,51,664,0.9985,1.0,1.0,1.0,663,1,0.4321,0.9936,0.2193
