dataset,generator,target,target_is_hub,seed,retention,violation_rate,f1_full,f1_filtered
census_acs,ctgan,poverty_status,True,47,66.14999999999999,0.3385,0.36691108706976,0.5722524219933547
census_acs,ctgan,education,True,47,66.14999999999999,0.3385,0.43849644077015854,0.5265436032210883
census_acs,ctgan,tenure,True,47,66.14999999999999,0.3385,0.5314093552744013,0.6050032916392363
census_acs,ctgan,cost_burden_pct,False,47,66.14999999999999,0.3385,0.34600618035396574,0.33847850055126794
census_acs,ctgan,employment_status,False,47,66.14999999999999,0.3385,0.424,0.37602820211515864
census_acs,ctgan,household_size,False,47,66.14999999999999,0.3385,0.3973310374515712,0.417180137731062
census_acs,ctgan,age_group,False,47,66.14999999999999,0.3385,0.4350282485875706,0.4275044962176856
census_acs,ctgan,household_income,True,48,69.45,0.3055,0.4899574964580382,0.6226521359578723
census_acs,ctgan,housing_cost,True,48,69.45,0.3055,0.5659722222222223,0.7161336287027864
census_acs,ctgan,poverty_status,True,48,69.45,0.3055,0.31931906195867704,0.4213888642041135
census_acs,ctgan,education,True,48,69.45,0.3055,0.3134205148339424,0.36251230051769134
census_acs,ctgan,tenure,True,48,69.45,0.3055,0.33064299165994077,0.33064299165994077
census_acs,ctgan,cost_burden_pct,False,48,69.45,0.3055,0.46279715961716583,0.43207712532865905
census_acs,ctgan,employment_status,False,48,69.45,0.3055,0.33967506783040763,0.34864681722006335
census_acs,ctgan,household_size,False,48,69.45,0.3055,0.43675467105177973,0.40913074655405945
census_acs,ctgan,age_group,False,48,69.45,0.3055,0.3212669683257919,0.32478537820950226
census_acs,ctgan,household_income,True,49,67.80000000000001,0.322,0.328656351679732,0.4996881007243701
census_acs,ctgan,housing_cost,True,49,67.80000000000001,0.322,0.41619318181818177,0.45563647445800104
census_acs,ctgan,poverty_status,True,49,67.80000000000001,0.322,0.3573482157957044,0.39695645135178886
census_acs,ctgan,education,True,49,67.80000000000001,0.322,0.5208041140719962,0.5634191176470589
census_acs,ctgan,tenure,True,49,67.80000000000001,0.322,0.3670605184368375,0.40094544664203435
census_acs,ctgan,cost_burden_pct,False,49,67.80000000000001,0.322,0.3413830954994512,0.34520651762031074
census_acs,ctgan,employment_status,False,49,67.80000000000001,0.322,0.33702637482030606,0.33702637482030606
census_acs,ctgan,household_size,False,49,67.80000000000001,0.322,0.3337649514067976,0.33967506783040763
census_acs,ctgan,age_group,False,49,67.80000000000001,0.322,0.40062830687830686,0.5405989502933004
census_acs,ctgan,household_income,True,50,64.9,0.351,0.34123895225623835,0.35993535559737594
census_acs,ctgan,housing_cost,True,50,64.9,0.351,0.3355188361645529,0.3567904135338346
