seed,error_type,corruption_level,method,f1,precision,recall,roc_auc,pr_auc,n_flagged,n_true_errors
44,row_duplication,0.4,HIF,0.00984009840098401,0.3076923076923077,0.005,0.4995869791666666,0.39899884875528757,13,800
44,row_duplication,0.4,IsolationForest,0.40049751243781095,0.39851485148514854,0.4025,0.49537916666666665,0.39817125284133403,808,800
44,row_duplication,0.4,LOF,0.5412541254125413,0.4039408866995074,0.82,0.5189817708333333,0.4139900170200523,1624,800
44,row_duplication,0.4,GMM,0.4977168949771689,0.3920863309352518,0.68125,0.50115625,0.4057758759769021,1390,800
44,feature_dropout,0.4,HIF,0.0625,0.8125,0.0325,0.6622057291666668,0.5910511068509164,32,800
44,feature_dropout,0.4,IsolationForest,0.15717375630857966,0.18568994889267462,0.13625,0.2874885416666667,0.2864880392972845,587,800
44,feature_dropout,0.4,LOF,0.5260525218841183,0.39462163852407756,0.78875,0.503115625,0.4041346281966459,1599,800
44,feature_dropout,0.4,GMM,0.49338805289557686,0.38837042354630297,0.67625,0.521790625,0.4494103091004908,1393,800
44,covariate_shift,0.4,HIF,0.0024752475247524753,0.125,0.00125,0.28584583333333335,0.3533906279366691,8,800
44,covariate_shift,0.4,IsolationForest,0.41025641025641024,0.41051314142678347,0.41,0.5115427083333334,0.42417873095643077,799,800
44,covariate_shift,0.4,LOF,0.29357798165137616,0.23918174665617625,0.38,0.22046354166666665,0.2680925814992248,1271,800
44,covariate_shift,0.4,GMM,0.31573498964803315,0.26943462897526504,0.38125,0.2718083333333333,0.2831741753730484,1132,800
45,random_injection,0.4,HIF,0.364741641337386,0.9625668449197861,0.225,0.8890171875000001,0.8574534374828555,187,800
45,random_injection,0.4,IsolationForest,0.4354243542435424,0.42857142857142855,0.4425,0.5328916666666668,0.418307673469842,826,800
45,random_injection,0.4,LOF,0.624452409398646,0.4582115721800117,0.98,0.8624895833333334,0.8253976530230556,1711,800
45,random_injection,0.4,GMM,0.6510619852622453,0.49834107498341074,0.93875,0.86094375,0.8263781557928643,1507,800
45,semantic_hallucination,0.4,HIF,0.20353982300884957,0.8846153846153846,0.115,0.833771875,0.7832696526229317,104,800
45,semantic_hallucination,0.4,IsolationForest,0.4103194103194103,0.4033816425120773,0.4175,0.5105114583333333,0.39408555255329747,828,800
45,semantic_hallucination,0.4,LOF,0.5986284792254941,0.44192972007147113,0.9275,0.7325427083333333,0.6749409695921308,1679,800
45,semantic_hallucination,0.4,GMM,0.6444249341527656,0.496617050067659,0.9175,0.828134375,0.796868219369229,1478,800
45,row_duplication,0.4,HIF,0.012300123001230012,0.38461538461538464,0.00625,0.4998203125,0.40621195342957106,13,800
45,row_duplication,0.4,IsolationForest,0.4027346177750155,0.4004944375772559,0.405,0.49675729166666666,0.40073085365309646,809,800
45,row_duplication,0.4,LOF,0.5229202037351444,0.39588688946015427,0.77,0.4840213541666666,0.38841491239262227,1556,800
45,row_duplication,0.4,GMM,0.49736967957914874,0.4027885360185902,0.65,0.49777916666666666,0.3967359124546833,1291,800
45,feature_dropout,0.4,HIF,0.07801418439716312,0.717391304347826,0.04125,0.6372848958333334,0.5710202478191884,46,800
45,feature_dropout,0.4,IsolationForest,0.16177523264137436,0.18927973199329984,0.14125,0.29251875,0.28798624949558305,597,800
45,feature_dropout,0.4,LOF,0.518550106609808,0.3935275080906149,0.76,0.507521875,0.414835584009294,1545,800
45,feature_dropout,0.4,GMM,0.4686729156388752,0.3871230643846781,0.59375,0.5216916666666667,0.4493714854849024,1227,800
45,covariate_shift,0.4,HIF,0.004932182490752158,0.18181818181818182,0.0025,0.27939583333333334,0.3579269994587352,11,800
45,covariate_shift,0.4,IsolationForest,0.3972939729397294,0.3910411622276029,0.40375,0.49468020833333337,0.409259868885254,826,800
45,covariate_shift,0.4,LOF,0.2813425468904245,0.23246329526916804,0.35625,0.21435208333333333,0.2662394846566897,1226,800
45,covariate_shift,0.4,GMM,0.33191489361702126,0.28888888888888886,0.39,0.2986364583333333,0.29111071363703983,1080,800
46,random_injection,0.4,HIF,0.3326488706365503,0.9310344827586207,0.2025,0.8831276041666666,0.8411939811890927,174,800
46,random_injection,0.4,IsolationForest,0.42398022249690975,0.4193154034229829,0.42875,0.5318864583333334,0.4201140830606871,818,800
46,random_injection,0.4,LOF,0.6185973207249803,0.451668584579977,0.98125,0.8632083333333334,0.8175659713865933,1738,800
46,random_injection,0.4,GMM,0.6464826357969724,0.5020746887966805,0.9075,0.852221875,0.8285211919404043,1446,800
46,semantic_hallucination,0.4,HIF,0.2013274336283186,0.875,0.11375,0.8133177083333332,0.763786449410339,104,800
46,semantic_hallucination,0.4,IsolationForest,0.3913869537682077,0.39666238767650835,0.38625,0.5016645833333333,0.3982722150563064,779,800
46,semantic_hallucination,0.4,LOF,0.5827338129496403,0.4283196239717979,0.91125,0.7131864583333334,0.6510546103239807,1702,800
46,semantic_hallucination,0.4,GMM,0.6203787195671776,0.48519040902679833,0.86,0.7894520833333332,0.7764686927221451,1418,800
46,row_duplication,0.4,HIF,0.031476997578692496,0.5,0.01625,0.49575,0.403318668491684,26,800
46,row_duplication,0.4,IsolationForest,0.37714285714285717,0.3832258064516129,0.37125,0.4984369791666666,0.3997744881110892,775,800
46,row_duplication,0.4,LOF,0.5321100917431193,0.3992490613266583,0.7975,0.5176937500000001,0.4219140875479157,1598,800
46,row_duplication,0.4,GMM,0.4755667506297229,0.3983122362869198,0.59,0.49111041666666666,0.39735351177792877,1185,800
46,feature_dropout,0.4,HIF,0.054958183990442055,0.6216216216216216,0.02875,0.6442515624999999,0.5609390540457332,37,800
46,feature_dropout,0.4,IsolationForest,0.15317286652078774,0.18388791593695272,0.13125,0.29356666666666664,0.28734086016679483,571,800
46,feature_dropout,0.4,LOF,0.5160202360876898,0.3893129770992366,0.765,0.48495,0.39745347256303254,1572,800
46,feature_dropout,0.4,GMM,0.35319377348362857,0.30950141110065854,0.41125,0.426846875,0.4007014043196604,1063,800
46,covariate_shift,0.4,HIF,0.00980392156862745,0.25,0.005,0.2941713541666666,0.35489620953618445,16,800
46,covariate_shift,0.4,IsolationForest,0.4045226130653266,0.4065656565656566,0.4025,0.5009697916666667,0.4265237049541511,792,800
46,covariate_shift,0.4,LOF,0.2829076620825147,0.23300970873786409,0.36,0.21761875,0.2675989995340841,1236,800
46,covariate_shift,0.4,GMM,0.3491891891891892,0.3076190476190476,0.40375,0.32877499999999993,0.30220288223032765,1050,800
47,random_injection,0.4,HIF,0.3685800604229607,0.9481865284974094,0.22875,0.8931875,0.8530079121211895,193,800
47,random_injection,0.4,IsolationForest,0.44214372716199757,0.4311163895486936,0.45375,0.5386572916666666,0.4247917202428737,842,800
47,random_injection,0.4,LOF,0.6149606299212599,0.44885057471264367,0.97625,0.8605927083333333,0.8276505973012876,1740,800
47,random_injection,0.4,GMM,0.6469821971341728,0.49567531603459747,0.93125,0.857728125,0.829758407820237,1503,800
47,semantic_hallucination,0.4,HIF,0.20842572062084258,0.9215686274509803,0.1175,0.8224666666666667,0.7808388420089056,102,800
47,semantic_hallucination,0.4,IsolationForest,0.4244332493702771,0.4276649746192893,0.42125,0.526459375,0.4150439019545444,788,800
47,semantic_hallucination,0.4,LOF,0.5915267785771383,0.43478260869565216,0.925,0.71939375,0.6535495318276084,1702,800
47,semantic_hallucination,0.4,GMM,0.6229946524064172,0.4840720221606648,0.87375,0.7991583333333334,0.7779321692715511,1444,800
47,row_duplication,0.4,HIF,0.017241379310344827,0.5833333333333334,0.00875,0.5030479166666667,0.4110730412721042,12,800
47,row_duplication,0.4,IsolationForest,0.4188679245283019,0.4215189873417722,0.41625,0.5309151041666668,0.42433619240687726,790,800
47,row_duplication,0.4,LOF,0.5337753833402403,0.3992560446373218,0.805,0.49954062500000007,0.40131650415003284,1613,800
47,row_duplication,0.4,GMM,0.48393378773125606,0.3963317384370016,0.62125,0.49294479166666666,0.38826608937638446,1254,800
47,feature_dropout,0.4,HIF,0.07847800237812129,0.8048780487804879,0.04125,0.6544026041666666,0.5950352211611699,41,800
47,feature_dropout,0.4,IsolationForest,0.15351194786386677,0.18244406196213425,0.1325,0.2877364583333334,0.2868126615960712,581,800
47,feature_dropout,0.4,LOF,0.5137072964993673,0.38765117759388923,0.76125,0.4823104166666667,0.3950784375104042,1571,800
47,feature_dropout,0.4,GMM,0.4246153846153846,0.36,0.5175,0.48278229166666664,0.43652945973036467,1150,800
47,covariate_shift,0.4,HIF,0.007407407407407408,0.3,0.00375,0.30768541666666666,0.3528550942755896,10,800
47,covariate_shift,0.4,IsolationForest,0.37714285714285717,0.3832258064516129,0.37125,0.4920541666666667,0.4193934077435778,775,800
47,covariate_shift,0.4,LOF,0.2946859903381642,0.24015748031496062,0.38125,0.2121125,0.2672416512829996,1270,800
47,covariate_shift,0.4,GMM,0.346723044397463,0.30036630036630035,0.41,0.29941666666666666,0.29001487208649335,1092,800
48,random_injection,0.4,HIF,0.378,0.945,0.23625,0.879559375,0.8374352461757562,200,800
48,random_injection,0.4,IsolationForest,0.432301153612629,0.4203069657615112,0.445,0.5136895833333333,0.40368235690490484,847,800
48,random_injection,0.4,LOF,0.6140691799455888,0.4455724760293288,0.9875,0.8598604166666667,0.8232641099847091,1773,800
48,random_injection,0.4,GMM,0.642620232172471,0.4807692307692308,0.96875,0.8709072916666665,0.8404698344598732,1612,800
48,semantic_hallucination,0.4,HIF,0.22562979189485213,0.911504424778761,0.12875,0.8253442708333333,0.7874440274525352,113,800
48,semantic_hallucination,0.4,IsolationForest,0.4095940959409594,0.40314769975786924,0.41625,0.49616041666666666,0.39240616971051445,826,800
48,semantic_hallucination,0.4,LOF,0.5915714848365499,0.4318573893041978,0.93875,0.7060947916666667,0.63481801724278,1739,800
48,semantic_hallucination,0.4,GMM,0.6270042194092827,0.4732484076433121,0.92875,0.8147072916666667,0.797340213575084,1570,800
48,row_duplication,0.4,HIF,0.019464720194647202,0.36363636363636365,0.01,0.5000062500000001,0.3984775945369262,22,800
48,row_duplication,0.4,IsolationForest,0.41281577325939617,0.40704738760631837,0.41875,0.5007781250000001,0.4035192950216099,823,800
48,row_duplication,0.4,LOF,0.5365249690466364,0.4004929143561306,0.8125,0.502728125,0.4009379264210332,1623,800
48,row_duplication,0.4,GMM,0.5073126142595978,0.39985590778097985,0.69375,0.5066791666666667,0.41468433495420803,1388,800
48,feature_dropout,0.4,HIF,0.08284023668639054,0.7777777777777778,0.04375,0.6385364583333333,0.5681293394266662,45,800
48,feature_dropout,0.4,IsolationForest,0.1740976645435244,0.200652528548124,0.15375,0.27770208333333335,0.28381456782198433,613,800
48,feature_dropout,0.4,LOF,0.5162907268170426,0.3877038895859473,0.7725,0.47105833333333336,0.38183878012206585,1594,800
