dataset,generator,seed,rows,ks_score,corr_distance,alpha_precision,beta_recall,authenticity,hif_score,hif_violation_rate,hif_rule_violation_rate,time_s
credit,vine,42,1000,97.45,6.92068147481979,0.7936068965517241,0.8075563218390804,0.036,0.3325,0.711,0.25,17.1
credit,vine,43,1000,97.42142857142858,7.163618639843123,0.7902068965517242,0.8167816091954023,0.031,0.3485,0.686,0.246,19.1
credit,vine,44,1000,97.35000000000001,6.889575081123439,0.8089402298850574,0.8125563218390806,0.043,0.3514,0.677,0.268,23.5
credit,ctgan,42,1000,68.81428571428572,6.6829652640444595,0.527135632183908,0.9061793103448276,0.01,0.1935,0.853,0.323,106.6
credit,ctgan,43,1000,61.35,7.045134295214619,0.6048137931034483,0.8601264367816093,0.013,0.2251,0.805,0.21,107.3
credit,ctgan,44,1000,65.15714285714286,6.700491473455977,0.5396022988505746,0.8722160919540229,0.018,0.2243,0.816,0.263,67.9
credit,tvae,42,1000,75.0,3.1728590285849076,0.5058666666666667,0.7219333333333333,0.123,0.8711,0.124,0.11,17.1
credit,tvae,43,1000,75.32857142857144,3.624683922465245,0.46073333333333333,0.6633333333333333,0.11,0.9185,0.075,0.064,16.8
credit,tvae,44,1000,73.69285714285714,3.471695625597339,0.5304,0.7391333333333333,0.112,0.8929,0.103,0.077,18.0
adult,gaussian,42,1000,83.75,0.14619596566135193,0.9438528735632183,0.7942666666666667,0.218,0.7162,0.274,0.055,3.3
adult,gaussian,43,1000,83.85,0.055120452279332016,0.939464367816092,0.8358666666666666,0.211,0.7147,0.285,0.053,3.4
adult,gaussian,44,1000,84.69999999999999,0.038988744572083726,0.926664367816092,0.8010666666666666,0.239,0.7009,0.282,0.076,3.8
adult,vine,42,1000,97.85,0.18098091625959603,0.9723770114942529,0.8019333333333333,0.165,0.6213,0.369,0.062,4.1
adult,vine,43,1000,96.75,0.2702668659119048,0.9548367816091954,0.8184666666666667,0.19,0.6507,0.344,0.065,6.4
adult,vine,44,1000,97.69999999999999,0.3102180858653633,0.970616091954023,0.7769333333333334,0.164,0.6198,0.372,0.086,6.7
adult,ctgan,42,1000,73.44999999999999,0.15876259312277108,0.6769999999999999,0.772535632183908,0.144,0.5521,0.408,0.073,83.3
adult,ctgan,43,1000,71.0,0.17920185514769343,0.8352,0.7558666666666667,0.133,0.5047,0.498,0.119,103.2
adult,ctgan,44,1000,74.0,0.21467726515408375,0.8416666666666667,0.7968666666666666,0.146,0.5124,0.494,0.114,39.9
adult,tvae,42,1000,74.6,0.10692461262183166,0.4554666666666666,0.4582666666666666,0.073,0.9832,0.0,0.0,17.1
adult,tvae,43,1000,73.5,0.23396339763827884,0.4512666666666666,0.4934666666666666,0.091,0.9885,0.0,0.0,14.3
adult,tvae,44,1000,69.25,0.18775251267003362,0.43979999999999997,0.5186,0.09,0.9449,0.034,0.034,10.4
