dataset,generator,target,arm,seed,target_is_hub,hubs,retention,f1_full,f1_filtered
census_acs,vine,household_income,C_blind,51,False,housing_cost|poverty_status|education|tenure|household_size,93.60000000000001,0.39181286549707606,0.44656827880512096
online_purchases,ctgan,item_total,A_published,42,True,quantity|item_total|item_subtotal|purchase_price|item_tax,28.313253012048197,0.3006993006993007,0.3006993006993007
online_purchases,ctgan,item_total,B_no_hub,42,False,quantity|item_subtotal|purchase_price|item_tax|list_price,31.17469879518072,0.3006993006993007,0.3200582807187955
online_purchases,ctgan,item_total,C_blind,42,False,quantity|item_subtotal|purchase_price|item_tax|list_price,21.686746987951807,0.3006993006993007,0.3006993006993007
online_purchases,ctgan,item_total,A_published,43,True,quantity|item_subtotal|item_total|purchase_price|item_tax,23.19277108433735,0.34210526315789475,0.3671532101663774
online_purchases,ctgan,item_total,B_no_hub,43,False,quantity|item_subtotal|purchase_price|item_tax|list_price,29.518072289156628,0.34210526315789475,0.35581140350877194
online_purchases,ctgan,item_total,C_blind,43,False,quantity|item_subtotal|purchase_price|item_tax|list_price,15.66265060240964,0.34210526315789475,0.3535436017828587
online_purchases,ctgan,item_total,A_published,44,True,quantity|item_total|item_subtotal|purchase_price|item_tax,11.596385542168674,0.33774834437086093,0.7178819444444444
online_purchases,ctgan,item_total,B_no_hub,44,False,quantity|item_subtotal|purchase_price|item_tax|list_price,38.704819277108435,0.33774834437086093,0.4165398274987316
online_purchases,ctgan,item_total,C_blind,44,False,quantity|item_subtotal|purchase_price|item_tax|list_price,25.0,0.33774834437086093,0.37890229152365074
online_purchases,ctgan,item_total,A_published,45,True,quantity|item_total|item_subtotal|purchase_price|item_tax,19.27710843373494,0.36000000000000004,0.5595238095238095
online_purchases,ctgan,item_total,B_no_hub,45,False,quantity|item_subtotal|purchase_price|item_tax|list_price,28.915662650602407,0.36000000000000004,0.3551783129359126
online_purchases,ctgan,item_total,C_blind,45,False,quantity|item_subtotal|purchase_price|item_tax|list_price,19.126506024096386,0.36000000000000004,0.33993399339933994
online_purchases,ctgan,item_total,A_published,46,True,quantity|item_total|item_subtotal|purchase_price|item_tax,13.855421686746988,0.3915256112401814,0.5136268343815513
online_purchases,ctgan,item_total,B_no_hub,46,False,quantity|item_subtotal|purchase_price|item_tax|list_price,23.042168674698797,0.3915256112401814,0.39285714285714285
online_purchases,ctgan,item_total,C_blind,46,False,quantity|item_subtotal|purchase_price|item_tax|list_price,9.186746987951807,0.3915256112401814,0.29500281406439766
online_purchases,ctgan,item_total,A_published,47,True,quantity|item_total|item_subtotal|purchase_price|item_tax,16.265060240963855,0.3373180873180873,0.6238521960393849
online_purchases,ctgan,item_total,B_no_hub,47,False,quantity|item_subtotal|purchase_price|item_tax|list_price,26.656626506024097,0.3373180873180873,0.36580416032470825
online_purchases,ctgan,item_total,C_blind,47,False,quantity|item_subtotal|purchase_price|item_tax|list_price,12.5,0.3373180873180873,0.32432432432432434
online_purchases,ctgan,item_total,A_published,48,True,quantity|item_total|item_subtotal|purchase_price|item_tax,20.33132530120482,0.3127147766323024,0.3551587301587301
online_purchases,ctgan,item_total,B_no_hub,48,False,quantity|item_subtotal|purchase_price|item_tax|list_price,29.668674698795183,0.3127147766323024,0.3253255146757464
online_purchases,ctgan,item_total,C_blind,48,False,quantity|item_subtotal|purchase_price|item_tax|list_price,19.126506024096386,0.3127147766323024,0.3127147766323024
online_purchases,ctgan,item_total,A_published,49,True,quantity|item_subtotal|item_total|purchase_price|item_tax,16.265060240963855,0.3442622950819672,0.5590589230165202
online_purchases,ctgan,item_total,B_no_hub,49,False,quantity|item_subtotal|purchase_price|item_tax|list_price,30.42168674698795,0.3442622950819672,0.35581140350877194
online_purchases,ctgan,item_total,C_blind,49,False,quantity|item_subtotal|purchase_price|item_tax|list_price,16.566265060240966,0.3442622950819672,0.3442622950819672
online_purchases,ctgan,item_total,A_published,50,True,quantity|item_total|item_subtotal|purchase_price|item_tax,16.566265060240966,0.5498199279711885,0.8001998001998003
