dataset,generator,attribute,seed,violation_rate,retention,max_flag_gap,max_share_shift_pp,tvd
adult,tvae,race,51,0.0995,0.9005,0.0,0.0,0.0
credit,gaussian,sex,42,0.628,0.372,0.0055348259367384856,0.3500000000000003,0.0034999999999999754
credit,gaussian,marriage,42,0.628,0.372,0.16666666666666663,1.0801075268817184,0.011145161290322579
credit,gaussian,age_quartile,42,0.628,0.372,0.242261797685435,10.045698924731184,0.1004569892473118
credit,gaussian,sex,43,0.482,0.518,0.0013761481855851798,0.06544401544401612,0.0006544401544401612
credit,gaussian,marriage,43,0.482,0.518,0.48848848848848847,0.6256756756756743,0.006256756756756766
credit,gaussian,age_quartile,43,0.482,0.518,0.15819019434359455,3.99787644787645,0.058957528957528996
credit,gaussian,sex,44,0.5265,0.4735,0.05394393116515028,2.7464097148891256,0.027464097148891226
credit,gaussian,marriage,44,0.5265,0.4735,0.5099457504520796,4.256494192185844,0.04256494192185847
credit,gaussian,age_quartile,44,0.5265,0.4735,0.35554197726994985,10.98363252375924,0.13365047518479406
credit,gaussian,sex,45,0.5965,0.4035,0.027476090128059627,1.638289962825279,0.01638289962825279
credit,gaussian,marriage,45,0.5965,0.4035,0.46796657381615603,8.603531598513015,0.08603531598513015
credit,gaussian,age_quartile,45,0.5965,0.4035,0.26584653878231856,7.921437422552663,0.13444919454770754
credit,gaussian,sex,46,0.6725,0.3275,0.0013333333333332975,0.0954198473282486,0.0009541984732824582
credit,gaussian,marriage,46,0.6725,0.3275,0.1636363636363637,1.1198473282442722,0.011805343511450388
credit,gaussian,age_quartile,46,0.6725,0.3275,0.11090225563909772,5.613740458015265,0.056137404580152664
credit,gaussian,sex,47,0.5235,0.4765,0.030929160239505094,1.5653725078698888,0.015653725078698888
credit,gaussian,marriage,47,0.5235,0.4765,0.5652173913043479,4.345487932843644,0.043954879328436516
credit,gaussian,age_quartile,47,0.5235,0.4765,0.4280798191915865,14.192707240293812,0.14209758656873034
credit,gaussian,sex,48,0.515,0.485,0.030329088525529957,1.4835051546391753,0.014835051546391753
credit,gaussian,marriage,48,0.515,0.485,0.3162187210379982,3.472680412371132,0.03472680412371132
credit,gaussian,age_quartile,48,0.515,0.485,0.2400597349262647,6.193298969072164,0.06734536082474228
credit,gaussian,sex,49,0.5375,0.4625,0.004376480280094741,0.22972972972973293,0.002297297297297274
credit,gaussian,marriage,49,0.5375,0.4625,0.15698924731182795,3.2635135135135163,0.03263513513513515
credit,gaussian,age_quartile,49,0.5375,0.4625,0.0955734406438632,3.12027027027027,0.04117567567567565
credit,gaussian,sex,50,0.474,0.526,0.0019504097935470477,0.08935361216729776,0.0008935361216729776
credit,gaussian,marriage,50,0.474,0.526,0.5844155844155845,2.3418250950570374,0.025621673003802303
credit,gaussian,age_quartile,50,0.474,0.526,0.191132488170699,4.768250950570341,0.056726235741444864
credit,gaussian,sex,51,0.5635,0.4365,0.028600291467938632,1.5825887743413536,0.015825887743413536
credit,gaussian,marriage,51,0.5635,0.4365,0.44299065420560746,0.7955326460481027,0.007955326460481065
credit,gaussian,age_quartile,51,0.5635,0.4365,0.14339307303890197,5.586025200458189,0.0558602520045819
credit,vine,sex,42,0.765,0.235,0.0022257934314598993,0.22234042553191946,0.002223404255319167
credit,vine,marriage,42,0.765,0.235,0.050000000000000044,1.7734042553191498,0.017861702127659584
credit,vine,age_quartile,42,0.765,0.235,0.08592733787642037,4.562765957446807,0.05718085106382979
credit,vine,sex,43,0.676,0.324,0.01406479210759115,1.06604938271605,0.0106604938271605
credit,vine,marriage,43,0.676,0.324,0.19011213047910291,2.1364197530864217,0.021364197530864187
credit,vine,age_quartile,43,0.676,0.324,0.22640034503207718,11.348148148148146,0.11348148148148149
credit,vine,sex,44,0.7125,0.2875,0.004727940779164608,0.3956521739130414,0.003956521739130414
credit,vine,marriage,44,0.7125,0.2875,0.12937853107344632,1.3152173913043463,0.013152173913043498
credit,vine,age_quartile,44,0.7125,0.2875,0.14351305260396163,7.8434782608695635,0.07843478260869562
credit,vine,sex,45,0.738,0.262,0.00609677271381448,0.5580152671755712,0.0055801526717557115
credit,vine,marriage,45,0.738,0.262,0.27783063748810655,3.1751908396946638,0.031751908396946624
credit,vine,age_quartile,45,0.738,0.262,0.18773317474477158,9.327862595419845,0.12455343511450379
credit,vine,sex,46,0.7365,0.2635,0.015279254046904889,1.3788425047438324,0.013788425047438296
credit,vine,marriage,46,0.7365,0.2635,0.16149068322981364,4.987096774193544,0.051473434535104355
credit,vine,age_quartile,46,0.7365,0.2635,0.0803022126281705,5.387571157495252,0.05387571157495255
