dataset,generator,seed,target,task,hif_score,violation_rate,ks_score,tstr_score,trr_score,tstr_ratio,time_s
bls,tvae,43,establishments,regression,0.9402,0.042,79.60000000000001,-0.0231,0.935,-0.0247,1.9
bls,tvae,43,avg_weekly_wage,regression,0.9402,0.042,79.60000000000001,-0.1755,-0.0314,-5.5823,1.9
bls,tvae,43,ownership,classification,0.9402,0.042,79.60000000000001,1.0,1.0,1.0,1.9
bls,tvae,43,quarter,classification,0.9402,0.042,79.60000000000001,0.1764,0.2357,0.7485,1.9
bls,tvae,43,year,classification,0.9402,0.042,79.60000000000001,0.104,0.2885,0.3605,1.9
bls,tvae,44,total_employment,regression,0.9531,0.042,75.875,-0.0251,0.8472,-0.0296,2.2
bls,tvae,44,establishments,regression,0.9531,0.042,75.875,-0.0331,0.8578,-0.0386,2.2
bls,tvae,44,avg_weekly_wage,regression,0.9531,0.042,75.875,-0.391,-0.4284,-0.9126,2.2
bls,tvae,44,ownership,classification,0.9531,0.042,75.875,1.0,1.0,1.0,2.2
bls,tvae,44,quarter,classification,0.9531,0.042,75.875,0.1672,0.2518,0.6638,2.2
bls,tvae,44,year,classification,0.9531,0.042,75.875,0.0832,0.3058,0.2721,2.2
